Gene	SD
Zm00001d000001	70.3508232569505
Zm00001d000004	18.4361757670243
Zm00001d000005	31.7903552408239
Zm00001d000006	37.2206214251905
Zm00001d000008	44.6505401113385
Zm00001d000012	42.2400942246723
Zm00001d000017	48.3511178777015
Zm00001d000018	42.8051180151132
Zm00001d000019	33.2478653042589
Zm00001d000020	91.7946018168148
Zm00001d000021	15.9116163897979
Zm00001d000023	18.8056447352377
Zm00001d000028	22.9626542818989
Zm00001d000029	12.1442077090783
Zm00001d000030	8.77330920152015
Zm00001d000034	31.603355298348
Zm00001d000035	17.3790472456737
Zm00001d000038	22.9845170454402
Zm00001d000039	16.5724998620486
Zm00001d000040	28.9673827612646
Zm00001d000041	26.1541904530167
Zm00001d000042	23.0937091868107
Zm00001d000045	15.318116725047
Zm00001d000046	15.8110814384264
Zm00001d000052	15.9376818397275
Zm00001d000053	14.2016724514334
Zm00001d000060	52.6406062982318
Zm00001d000071	28.5796849636296
Zm00001d000072	20.1703878064343
Zm00001d000077	30.5189813030017
Zm00001d000080	15.6782790998618
Zm00001d000085	24.7907775724409
Zm00001d000098	15.4912646980835
Zm00001d000099	29.5141556543416
Zm00001d000102	14.3330099007812
Zm00001d000107	67.8114290395305
Zm00001d000110	10.5704626133871
Zm00001d000112	17.3042849749746
Zm00001d000116	17.9209448980201
Zm00001d000117	31.2304516678685
Zm00001d000120	19.9094890435575
Zm00001d000123	25.6006249830815
Zm00001d000124	16.0409527752588
Zm00001d000126	27.2412189711398
Zm00001d000133	22.2247696955845
Zm00001d000135	14.0577733275263
Zm00001d000141	42.3064250973501
Zm00001d000143	53.9837648913024
Zm00001d000153	19.8851090332231
Zm00001d000158	32.5092901771073
Zm00001d000163	108.347957512343
Zm00001d000164	31.7446112549324
Zm00001d000165	26.806616930316
Zm00001d000166	18.3468885066733
Zm00001d000168	56.3909894333462
Zm00001d000169	13.3204505520629
Zm00001d000170	21.0788770553435
Zm00001d000175	34.2408603383786
Zm00001d000176	43.4790432881949
Zm00001d000178	16.9292882555574
Zm00001d000179	47.7915358337909
Zm00001d000183	21.7882765779108
Zm00001d000184	19.5122430948814
Zm00001d000191	14.4444803796823
Zm00001d000194	124.489414930723
