Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d008548	-78.02549925	6.47E-249	1.84E-05	-2.186097707	544	Negative
Zm00001d043121	-76.73720696	0	1.78E-05	-2.103903771	532	Negative
Zm00001d027948	-74.95279993	2.50E-197	2.40E-05	-1.997278756	478	Negative
Zm00001d018966	-74.3667792	7.46E-284	1.84E-05	-1.963913331	548	Negative
Zm00001d019933	-73.68668904	1.20E-244	1.94E-05	-1.926135602	310	Negative
Zm00001d046318	-73.5176822	1.05E-273	1.83E-05	-1.916898699	522	Negative
Zm00001d009296	-72.87969455	3.62E-234	1.79E-05	-1.882554668	507	Negative
Zm00001d033710	-72.84533084	2.90E-209	2.35E-05	-1.880727809	404	Negative
Zm00001d033071	-72.68499817	1.88E-176	2.27E-05	-1.872234575	444	Negative
Zm00001d024960	-72.14057842	2.25E-298	1.80E-05	-1.84376279	555	Negative
Zm00001d036370	-71.90594173	1.17E-238	1.81E-05	-1.831663054	545	Negative
Zm00001d024996	-71.89754202	1.72122688511303e-317	1.82E-05	-1.831231774	562	Negative
Zm00001d031811	-71.02128555	6.37E-169	2.41E-05	-1.786936054	412	Negative
Zm00001d028816	-70.9575852	3.80E-211	2.06E-05	-1.78376668	505	Negative
Zm00001d035753	-70.74872873	8.50E-200	2.10E-05	-1.773428769	322	Negative
Zm00001d033455	-70.65645244	2.18E-276	1.82E-05	-1.768884795	554	Negative
Zm00001d031158	-70.47611845	2.83E-285	1.79E-05	-1.760045688	553	Negative
Zm00001d007753	-70.31955379	3.99E-287	1.82E-05	-1.752415314	560	Negative
Zm00001d018064	-69.68998977	1.06E-205	1.97E-05	-1.722152481	480	Negative
Zm00001d033909	-69.41514085	1.58E-229	1.98E-05	-1.709113763	267	Negative
Zm00001d048947	-69.35779587	7.31E-253	1.79E-05	-1.706408019	534	Negative
Zm00001d000824	-69.24961494	5.80E-247	1.84E-05	-1.701343709	326	Negative
Zm00001d024207	-68.5384436	2.46E-231	1.83E-05	-1.668338052	491	Negative
Zm00001d024210	-68.19607328	3.20E-256	1.77E-05	-1.652723222	538	Negative
Zm00001d023617	-68.08781435	7.74E-193	1.83E-05	-1.647820673	532	Negative
Zm00001d027524	-67.6853914	6.40E-202	2.44E-05	-1.629741577	426	Negative
Zm00001d045361	-67.53742975	1.39E-261	1.85E-05	-1.623152015	452	Negative
Zm00001d043988	-67.06459837	2.34E-263	1.77E-05	-1.602288952	542	Negative
Zm00001d034382	-66.71117304	6.41E-183	2.13E-05	-1.586890061	454	Negative
Zm00001d028651	-66.32165101	3.58E-239	1.81E-05	-1.57010668	487	Negative
Zm00001d036164	-65.77329185	6.22E-255	1.80E-05	-1.546805692	488	Negative
Zm00001d044147	-65.75524973	8.94E-219	1.80E-05	-1.546045255	521	Negative
Zm00001d004921	-65.68971685	3.37E-262	1.81E-05	-1.543288212	530	Negative
Zm00001d037281	-65.659877	9.66E-212	1.82E-05	-1.542032888	251	Negative
Zm00001d034097	-65.32668436	2.11E-212	1.87E-05	-1.528102801	403	Negative
Zm00001d038841	-65.29995325	5.34E-233	1.81E-05	-1.526990489	539	Negative
Zm00001d042022	-64.82835364	6.93E-249	1.80E-05	-1.507515227	541	Negative
Zm00001d011080	-64.72900083	3.09E-257	1.79E-05	-1.503445649	540	Negative
Zm00001d025753	-64.69270966	3.08E-189	2.30E-05	-1.501961989	250	Negative
Zm00001d014121	-64.48586234	5.17E-240	1.89E-05	-1.493541127	439	Negative
Zm00001d018738	-64.09021462	5.16E-237	1.79E-05	-1.477551064	537	Negative
Zm00001d031813	-64.01605969	3.38E-203	1.78E-05	-1.474574922	474	Negative
Zm00001d015032	-63.91458124	1.24E-138	2.10E-05	-1.470512098	372	Negative
Zm00001d021901	-63.87587915	2.28E-226	1.81E-05	-1.468965618	511	Negative
Zm00001d037656	-63.38838365	3.16E-243	1.77E-05	-1.449626627	492	Negative
Zm00001d000825	-63.27419907	1.32E-161	2.19E-05	-1.44513443	122	Negative
Zm00001d017381	-63.00875735	1.82E-250	1.85E-05	-1.434744329	472	Negative
Zm00001d037005	-62.86926468	9.05E-190	1.96E-05	-1.429358557	365	Negative
Zm00001d024208	-62.81641588	5.16E-184	2.21E-05	-1.42726244	444	Negative
Zm00001d008587	-62.70844888	1.29E-140	1.84E-05	-1.423079288	359	Negative
Zm00001d002434	-62.58588135	3.36E-195	1.93E-05	-1.418346104	392	Negative
Zm00001d028750	-62.51469472	4.45E-142	1.85E-05	-1.415602944	527	Negative
Zm00001d038913	-62.40944232	5.04E-174	2.16E-05	-1.411557776	223	Negative
Zm00001d048949	-62.27912369	1.57E-201	1.76E-05	-1.406564903	523	Negative
Zm00001d030542	-62.15045052	5.07E-214	1.86E-05	-1.401651979	335	Negative
Zm00001d010375	-62.12195356	3.34E-255	1.80E-05	-1.400566169	421	Negative
Zm00001d042114	-61.87959782	2.78E-202	1.79E-05	-1.391364755	394	Negative
Zm00001d025146	-61.83312915	7.63E-245	1.80E-05	-1.389630733	153	Negative
Zm00001d019399	-61.36182063	2.23E-197	1.92E-05	-1.371901468	226	Negative
Zm00001d048020	-61.25114235	3.67E-230	1.79E-05	-1.367774316	418	Negative
Zm00001d053001	-60.63889357	1.20E-149	2.51E-05	-1.345159358	277	Negative
Zm00001d045311	-60.63275892	1.10E-172	1.85E-05	-1.344932485	467	Negative
Zm00001d048950	-60.16546429	1.71E-212	1.78E-05	-1.327908586	531	Negative
Zm00001d018734	-60.13732066	5.96E-189	1.88E-05	-1.326909689	207	Negative
Zm00001d042143	-60.08852126	1.98E-194	1.78E-05	-1.325124362	536	Negative
Zm00001d043586	-59.87578704	3.13E-203	1.77E-05	-1.317456388	196	Negative
Zm00001d020921	-59.72161802	1.67E-150	2.23E-05	-1.311922879	325	Negative
Zm00001d004366	-59.66978845	6.60E-204	1.81E-05	-1.310068063	315	Negative
Zm00001d004401	-59.63077568	2.43E-201	1.77E-05	-1.308672229	475	Negative
Zm00001d004524	-59.43603149	1.36E-199	1.76E-05	-1.301734967	287	Negative
Zm00001d043350	-59.2766912	8.58E-198	1.77E-05	-1.296073309	381	Negative
Zm00001d013610	-59.25466488	4.26E-180	2.04E-05	-1.295293198	192	Negative
Zm00001d044075	-59.05698207	1.08E-177	1.89E-05	-1.288310647	156	Negative
