Taxa	ADW	FW	ML	pSL	RL	SL	TL
MP/MM402A	0.027047089781945	0.22643961135667	2.15441212466378	11.9546614304108	13.1833437610821	14.1534129559625	27.4467296536167
MP/H114	0.0217653637466122	0.21859312988929	1.91300812118238	11.0535280088568	13.2511005549845	13.1005371319527	26.4246619612899
MP/HBAI	0.0314742330092847	0.288548563158714	1.87055997249438	13.3935630884575	16.6077873443124	15.2467154801125	32.1662418900915
MP/dan598	0.0279325184274129	0.299524559337694	1.95609812948673	14.3466979924989	14.5119400576976	16.3098279162272	30.6879834984081
MP/BCC03	0.0266676203624587	0.247644357863019	1.85475864566221	12.1876360823045	12.3942019371324	14.0060135846994	26.433689757034
MP/MDF-13D	0.0269416816098655	0.266259438469372	1.93687701008562	11.5997154853113	14.0355803172307	13.5128057223464	27.6709931814087
MP/longkang1	0.0229100188646854	0.295116587545645	1.5793787962411	13.5190948150878	14.3129624283168	15.0144325510237	29.4869332507666
MP/Sg1533	0.0244326722455718	0.263484040660079	1.82493924294922	12.8573421156389	14.1789800952325	14.6285849749854	28.8552551043868
MP/IBB14	0.0269305191008691	0.283190544845688	2.04471313741078	13.1374179973504	9.9566893312933	15.2154321331301	24.5638486288258
MP/A619	0.0255292121039999	0.276551463705951	2.0521822905849	13.640315777487	16.6487293982262	15.7611861336749	32.6470228712556
MP/PHT69	0.0294082328365261	0.322360073352084	1.87078316080038	15.9475199622169	17.8618381153243	17.7902663632543	35.8450178923975
MP/Lp215D	0.0231469874150029	0.249950299480474	1.93769020541194	13.0671508374202	14.0265109112385	15.0023879619379	29.170307827247
MP/M3736	0.0270049265131132	0.283961026662694	2.06590841318545	14.2912908872413	16.8549583960446	16.4058886866549	33.4451698704593
K10/SC30-1	0.0318537024287709	0.40852983349237	2.13441262633886	15.2668338822481	15.1811960431081	17.4563618271799	32.6401475019761
K10/yan156	0.0428688053413526	0.581839573699169	1.93429297461678	18.9142544593971	20.5367650817508	20.8470642734855	41.4279520846144
K10/ji63	0.0349527026879087	0.42438020595212	2.62976173415361	18.9670416268001	18.8007050397256	21.7039879945669	40.4930769746323
K10/84-126-15-1	0.0355640700859699	0.511985436562001	2.23400456215442	19.6122685326011	23.7202849421764	21.9120738561088	45.9339073252154
K10/PHT22	0.0320645187729299	0.388525758790299	1.77785147602078	17.0759310793336	18.7457069277156	18.8012604084383	37.6649607333703
K10/T24	0.0353743353762268	0.469874145681516	1.85256281634643	16.1450038172863	18.4389406664721	18.0106514688786	36.5982849346493
K10/IBB14	0.0455778464335239	0.492039524194996	1.79544447957295	18.306607766918	19.71017129553	20.0583938928407	39.8626989838001
K10/A619	0.0330975188593092	0.452570121508528	1.90198786066343	18.0615904170053	23.0152057916933	19.937918452791	43.3326145250673
K10/PHT69	0.0334348250099637	0.445484097391784	1.82643489108603	18.4009897376521	20.3580430906977	20.1902725372797	40.6330120377313
K10/NS501	0.0404760909048753	0.496785293079348	1.91648416692338	21.1476617293623	20.9272407239269	23.033223935404	43.9550205334128
K10/shuang741	0.0292606613956148	0.453665481036838	2.04563845541367	15.0285875152926	18.499662229432	17.1278705605719	35.8184515762756
K10/PHT77	0.0366673257270795	0.485152772993983	1.93278171249491	17.0536874797839	20.1018476761567	19.0714249749428	39.3681046576611
K10/PHG47	0.0443340300029856	0.56814053584098	1.64979366607164	19.4704805217832	22.4176984814566	21.050035789946	43.703726619634
K10/xuan6	0.0358592129677925	0.488469683629481	1.84646810332547	18.0307624136613	20.8628104951143	19.8730576575563	40.9736308906498
K10/FBHJ	0.045556764799108	0.52269013832354	1.77909073514115	20.8021066692574	19.6789108292418	22.5183149608635	42.0806604018589
78010/LH162	0.0348472945158292	0.439807943277786	1.99192995274678	17.352419097987	22.0166886433013	19.3460347812495	41.6721331656068
78010/han49	0.0384973421521636	0.459713629174673	1.85796650823588	18.6192269450246	18.1291984355088	20.4202085944429	38.6161293216592
F7584/huangchangb	0.0322120902138413	0.356158771163506	1.54328374897207	13.7803834806518	17.6653155216487	15.1364477183049	33.2414293956382
F7584/longkang1	0.0353743353762268	0.446435280973692	1.81141750252412	16.9156158835081	17.1746875103772	18.694350503299	35.9377267954949
F7584/E28	0.0313266615683733	0.335333229562754	1.48597064946812	14.0785253404128	16.1131382181875	15.4647506095037	31.831090627554
F7584/A554	0.0304623145573213	0.394982134989482	1.65209298682238	15.5102353641388	19.7570364785707	17.0934471461024	37.2154794716377
F7584/LH162	0.0387473968827713	0.442985158534557	1.6407990262659	16.9413038923966	19.4551925516596	18.5376479018385	38.2178814673995
18/C521	0.0299563553313396	0.367228287952656	1.55613010057969	13.1998244433252	16.3629548463215	14.6991826200915	31.2398704877462
18/M3	0.0354797435483063	0.464138632607804	1.63214064355971	16.1741090022853	19.0850131450329	17.7542208602013	37.1229374313026
18/MDF-13D	0.0373770906457376	0.460888203776796	1.72973268193798	16.1330310700925	20.3920736381474	17.829920519538	38.5769213470621
18/E8501	0.0284173960189787	0.33904828965795	1.58864244206542	12.4715923080491	15.3942200527893	14.0007269844228	29.6280971839471
