Taxa	ADW	FW	ML	pSL	RL	SL	TL
030-1	0.019695889965089	0.32164410212545	1.74403376445591	12.8421028573215	11.7802519198985	14.6129900985623	26.006405840162
1101	0.0208414176542696	0.340335640367703	1.25015880140523	13.601734093119	14.4908129666945	14.8830312246345	29.2949615421071
1145	0.0180899535012615	0.273573367567998	1.22018589417533	9.73332527219053	9.36384433268054	10.9486002056005	20.1680340610304
150-4	0.0195575750090727	0.275738358843821	1.66602300275529	10.790206236622	10.380625349713	12.4824185091219	22.6568644384346
1538	0.0169661218547011	0.239658933508299	1.7558779987313	10.6464737234288	11.7998875811137	12.4414988304232	24.1555168890628
1614	0.0261059704385891	0.351984530520016	1.83746717542423	13.4740587227428	12.4158357610966	15.3489421295413	27.4372396914945
18	0.0116443965295907	0.218045332397335	1.4476509565511	10.5018203418689	8.74367919873002	11.9659707027972	20.3710463529164
2005	0.0108861796688498	0.186821942963239	2.77491564025359	9.57270968038299	8.00675565687675	12.4276025724951	19.8201722162043
20837	0.0132370636324748	0.283829832170253	1.41154559468365	8.9057800354433	11.0613601222016	10.3100269229447	21.3917172020745
2MA22	0.00920756856046558	0.161574131659104	1.11646517085737	7.61464546118368	3.50485682612433	8.67872781830842	11.7365921253194
3335	0.0128470967595623	0.212395263740017	1.84552145334315	10.221052371952	9.06725379882279	12.1574975285311	20.8636832195179
468-3	0.0164299174044464	0.232251242400017	1.42229067216194	9.67300749359796	10.6954733365948	11.1215047183533	21.6925914464516
4722	0.0159668317428627	0.222327061278412	2.0620466193103	11.640539154297	10.5771692651392	13.7290278621276	24.0410350860891
5707	0.0214267865308573	0.298916172562292	1.8932845081393	12.0916523710511	14.8152113191772	14.1136883325782	29.0789078604413
6	0.0202320944153438	0.321831532377195	1.34027361892342	11.95762996686	11.5445153787303	13.3447820275706	24.6910647478833
7146		0.314419332059274	2.16268993541068	12.8151161699761	15.7284662505646	15.0440457101555	30.8764883327105
7236	0.00954198171150989	0.153382236455373	1.19403110100706	8.11152096650147	8.81140473250685	9.22120467993883	18.3203192413157
75-364	0.02924148773342	0.367653747672805	1.76443692448586	18.1603194126266	14.8265534704121	19.9398893511785	34.4153479107983
757	0.0148213040536821	0.258856678310748	1.71384797908961	10.4166193710358	13.5688574740752	12.1286693671969	25.7750038113051
78010	0.0306280082280833	0.37812608295398	1.90520862678549	15.199504012863	13.4049716507151	17.1319380565246	30.1745938320018
785	0.0220356912025644	0.3285938362126	2.15904254419423	15.6522171991787	15.323469524153	17.8750423706055	32.9064261238307
78551S	0.0231097078398698	0.301283150457191	1.8456791938707	13.8558430081424	12.6034005948889	15.7138588005596	28.2831574551659
7903E	0.0134644024575181	0.207734282945832	2.18902365571185	9.42125301765839	7.42637593947863	11.5952352875009	18.5740476008423
807	0.0290443854914174	0.339436559409557	2.20005573273185	15.4982020078122	19.0009283811219	17.5830202127106	36.3870563858129
84-126-15-1	0.0132832904495929	0.213486133148274	1.65782176316795	9.97415191999725	9.7853021649216	11.6023064477667	21.2690804731357
897	0.0166955029024511	0.269126775741702	1.11443226196886	9.47215380256315	12.6605859830172	10.563187077095	23.3485433527359
8982	0.0145771249517009	0.217230806327794	1.57263140822667	9.50979587539743	9.87416552942568	11.1523283255978	20.8520855295858
9058	0.0185503622759084	0.271553771198252	2.0787485622018	11.0449417179877	10.429943868305	13.178438815109	23.4349108272662
91huang10		0.221533512619905	1.77946899390943	8.11572662101834	9.86482827127222	9.90247249927072	20.0912983094366
91huang15	0.0159668317428627	0.235013862042666	2.04482203662924	11.3151945799075	11.3444038178842	13.3653132097574	24.4636258451391
91huang5	0.0139034971005519	0.209476869897616	1.6208599951414	7.39834886685573	9.31949429101487	8.91127832291021	18.6370559047926
96201	0.0160426252461864	0.249461136321253	1.67638278269447	10.7733272493653	9.97991726992241	12.4610061081626	22.1582166004067
9702	0.0149675416310243	0.218906294868791	1.92303706954809	10.3099783581821	10.5082302237479	12.3366461245901	22.6870341693069
9710	0.0192131473001819	0.249598260333213	1.67770431869181	11.047897654836	12.422400761524	12.7340323492473	25.1475921117005
99122	0.0147227880308753	0.239900063182553	2.26569747703291	12.0098045844488	10.432464979233	14.2883705084902	24.6828436375483
A554	0.0161240586249019	0.25911661822632	1.51836192189474	10.2036952725559	15.0665693356953	11.7574951027223	27.3004017298958
A619	0.0238277994687508	0.353707886640118	1.59030516739146	11.7575309905728	15.9140967253016	13.3181193433851	29.6524747596649
Ay420	0.0159679152000955	0.292526315809768	1.54549643910308	8.96974340449028	9.962333359116	10.5620755653041	20.5243765547294
B09	0.0136255413818099	0.193438501752888	1.8260854988959	10.3296269761818	9.41292449951283	12.2131549186318	21.2966920220029
B7	0.0285432633942926	0.346869581716825	1.6974435933304	14.6733895779382	15.9746622316457	16.4298123346482	32.2636795483192
B73	0.0122540059994139	0.208009319651798	1.73189175341418	11.805064766702	11.6911771358419	13.5195906355417	25.2449514569004
B98	0.0179897848960966	0.22570479406619	1.51257691801995	8.69709671814676	9.76349397806848	10.2970235646666	19.9457210548139
baiU8112	0.0212306894691716	0.264483331603132	1.53868509547544	10.7943670138178	19.2799001603091	12.3470419373479	31.8426218858782
BCC03	0.0126651580719921	0.191811846175016	1.30793026756179	8.97653792740591	7.82830550390523	10.2593858986131	17.9279398286261
BM	0.0203289206323475	0.352908983907127	1.64757786327584	11.6571174371429	11.2105384800866	13.3473548808245	24.3323122650099
C521	0.0154947529035944	0.218514793201993	1.27695613471892	7.15283158687118	9.53184569248803	8.43520175624261	18.1563953175565
C8605-2	0.0370129475609511	0.448127118716624	2.23427616317079	18.9809431460686	21.4102896955911	21.2339029544149	42.5316069196458
CAUCHANG72	0.0154946068104714	0.211001596955883	1.59957618096961	7.87933810398954	9.7510924734827	9.46155779960204	19.3696155700671
CAUMo17	0.0227848972149813	0.324229496752634	1.41961452438536	11.6236195270587	11.072480080983	13.0379844600652	24.1444543689559
CAUZHENG58	0.0215741262998224	0.321005252652877	1.18852737682279	11.9269875170695	11.4492427543032	13.0858712086306	24.6020849072589
chang69	0.0147535138518522	0.234307188087178	2.05334832561939	11.221726863796	14.3915986651644	13.3325298673962	27.8154968275702
chang72	0.0216457243296518	0.326453832041009	1.99566806521994	13.8524065789752	15.4878168957948	15.8916085591042	31.2446300203174
changK	0.0143324961994991	0.216591383817754	1.70829205359588	9.66667649898468	10.9543313092909	11.3394353980639	22.3479476978648
chengzi2142	0.0196691149593208	0.264492387996915	1.6753295029976	11.9723446411755	13.6907855470343	13.6890829635619	27.3118707353292
chong72	0.0246923405242811	0.401457525965473	1.35556044871664	12.4892522157636	13.5574033562872	13.8700227495458	27.3426541862671
Co109	0.0114627178992839	0.174042321206595	1.612593103985	9.80669509668091	14.6395869671023	11.4459000483784	26.56408899236
D1139	0.0152369306247276	0.24972733847229	1.99263802972706	9.90651209464247	10.3675872559647	11.9643177335558	22.1652199890403
d140	0.0179897848960966	0.266284055986221	1.61148850543399	10.3078739969713	10.3175656265997	11.9552981288901	22.095489666382
D15	0.0186188407468369	0.269166739721183	1.48335609339049	10.7885880052429	10.7947029918254	12.2704066921273	22.9817732115869
dan598	0.0161130693202049	0.258837499071411	2.16289755560263	10.6547032014801	12.1610120202795	12.8941052875166	24.9565113213914
DF27	0.0232543376804161	0.389324284050733	1.91800467315119	13.7667720384496	16.4024756026878	15.7212964092983	32.1350021725607
DF32	0.0165926188021042	0.28906567773483	1.32097641216087	11.4783069166215	12.2363478050306	12.7923788801211	25.0230674621565
DH65232-DH9	0.017946185766155	0.279342174037109	1.07636437525553	11.5481833463033	10.7086842191337	12.6121383923448	23.1283817376743
DM07	0.0240830172853553	0.286518652676005	2.02689770593048	14.4408386349308	9.18287516831979	16.5261618373496	25.0214450519845
DM101B	0.0148135194104869	0.246914598993972	1.71147885661258	10.7509132156175	11.1881767865695	12.4684073147917	23.5883765292591
E28	0.0196227711764179	0.23689700686098	1.72789186911433	11.3083558887332	6.96033506534375	13.0824475419125	19.5282563192773
