sorghum3	maize1_v4
Sobic.006G274500	Zm00001d001763
Sobic.006G274600	Zm00001d001765
Sobic.006G274700	Zm00001d001766
Sobic.006G274933	Zm00001d001769
Sobic.006G274200	Zm00001d001771
Sobic.006G274300	Zm00001d001772
Sobic.006G273900	Zm00001d001773
Sobic.006G273800	Zm00001d001774
Sobic.006G273600	Zm00001d001776
Sobic.006G273300	Zm00001d001779
Sobic.006G273200	Zm00001d001780
Sobic.006G273000	Zm00001d001784
Sobic.006G272800	Zm00001d001785
Sobic.006G272500	Zm00001d001786
Sobic.006G272200	Zm00001d001787
Sobic.006G271800	Zm00001d001788
Sobic.006G271500	Zm00001d001789
Sobic.006G271200	Zm00001d001790
Sobic.006G271100	Zm00001d001791
Sobic.006G271000	Zm00001d001797
Sobic.006G270900	Zm00001d001798
Sobic.006G270600	Zm00001d001799
Sobic.006G270500	Zm00001d001800
Sobic.006G270400	Zm00001d001803
Sobic.006G270300	Zm00001d001804
Sobic.006G270200	Zm00001d001806
Sobic.006G270000	Zm00001d001807
Sobic.006G269900	Zm00001d001808
Sobic.006G269800	Zm00001d001809
Sobic.006G269700	Zm00001d001811
Sobic.006G269400	Zm00001d001812
Sobic.006G269000	Zm00001d001813
Sobic.006G268900	Zm00001d001814
Sobic.006G268800	Zm00001d001817
Sobic.006G268500	Zm00001d001818
Sobic.006G268300	Zm00001d001819
Sobic.006G268200	Zm00001d001820
Sobic.006G267900	Zm00001d001824
Sobic.006G267800	Zm00001d001825
Sobic.006G267700	Zm00001d001826
Sobic.006G267600	Zm00001d001827
Sobic.006G267500	Zm00001d001828
Sobic.006G267400	Zm00001d001829
Sobic.006G267300	Zm00001d001830
Sobic.006G267200	Zm00001d001831
Sobic.006G267000	Zm00001d001832
Sobic.006G266800	Zm00001d001835
Sobic.006G266600	Zm00001d001837
Sobic.006G266400	Zm00001d001838
Sobic.006G266300	Zm00001d001839
Sobic.006G266100	Zm00001d001841
Sobic.006G266000	Zm00001d001842
Sobic.006G265900	Zm00001d001843
Sobic.006G265800	Zm00001d001844
Sobic.006G265700	Zm00001d001845
Sobic.006G265600	Zm00001d001846
Sobic.006G265300	Zm00001d001847
Sobic.006G265200	Zm00001d001848
Sobic.006G265000	Zm00001d001849
Sobic.006G264900	Zm00001d001850
Sobic.006G264800	Zm00001d001852
Sobic.006G264500	Zm00001d001855
Sobic.006G264300	Zm00001d001856
Sobic.006G264201	Zm00001d001857
Sobic.006G264100	Zm00001d001858
Sobic.006G264000	Zm00001d001859
Sobic.006G263800	Zm00001d001860
Sobic.006G263700	Zm00001d001861
Sobic.006G263600	Zm00001d001862
Sobic.006G263400	Zm00001d001864
Sobic.006G263300	Zm00001d001865
Sobic.006G263200	Zm00001d001866
Sobic.006G263100	Zm00001d001868
Sobic.006G263000	Zm00001d001869
Sobic.006G262900	Zm00001d001870
Sobic.006G262400	Zm00001d001877
Sobic.006G262700	Zm00001d001877
Sobic.006G262100	Zm00001d001879
Sobic.006G261900	Zm00001d001880
Sobic.006G262300	Zm00001d001880
Sobic.006G261700	Zm00001d001881
Sobic.006G261500	Zm00001d001883
Sobic.006G261600	Zm00001d001883
Sobic.006G261400	Zm00001d001884
Sobic.006G261300	Zm00001d001887
Sobic.006G261200	Zm00001d001894
Sobic.006G261100	Zm00001d001895
Sobic.006G260800	Zm00001d001896
Sobic.006G260600	Zm00001d001897
Sobic.006G260500	Zm00001d001898
Sobic.006G260400	Zm00001d001899
Sobic.006G260300	Zm00001d001900
Sobic.006G260700	Zm00001d001900
Sobic.006G259900	Zm00001d001901
Sobic.006G259401	Zm00001d001902
Sobic.006G259201	Zm00001d001905
Sobic.006G259100	Zm00001d001906
Sobic.006G259000	Zm00001d001907
Sobic.006G258900	Zm00001d001908
Sobic.006G258700	Zm00001d001909
Sobic.006G258800	Zm00001d001909
Sobic.006G258600	Zm00001d001910
Sobic.006G257900	Zm00001d001913
Sobic.006G257800	Zm00001d001914
